user_id,content_id,session_day,device,is_recommended,completion_rate
1,351,120,CTV,1,0.733
1,160,226,CTV,1,0.894
1,176,254,CTV,0,0.497
1,388,80,CTV,1,0.587
1,315,20,CTV,1,0.611
1,180,137,CTV,1,0.571
1,63,19,CTV,0,0.742
1,48,66,CTV,0,0.584
1,5,117,CTV,0,0.484
1,261,137,CTV,0,0.321
1,392,112,CTV,1,0.771
1,393,24,CTV,1,0.678
1,65,73,CTV,0,0.532
1,198,353,CTV,0,0.476
1,27,287,CTV,0,0.468
1,3,179,CTV,1,0.788
1,199,12,CTV,1,0.737
1,85,145,CTV,1,0.623
1,182,369,CTV,0,0.752
1,131,324,CTV,0,0.49
1,40,303,CTV,0,0.518
1,137,101,CTV,0,0.51
1,227,162,CTV,0,0.713
1,287,14,CTV,0,0.552
1,55,343,CTV,1,0.841
1,92,47,CTV,0,0.526
1,200,248,CTV,0,0.396
1,119,114,CTV,1,0.823
1,368,229,CTV,0,0.799
1,36,331,CTV,0,0.491
1,338,127,CTV,1,0.856
1,241,9,CTV,1,0.603
1,98,266,CTV,0,0.506
2,371,334,Web,0,0.678
2,110,230,Web,0,0.49
2,10,368,Web,1,0.598
2,309,356,Web,1,0.459
2,17,273,Web,1,0.74
2,140,281,Web,1,0.478
2,365,359,Web,1,0.355
2,150,365,Web,0,0.708
2,43,239,Web,0,0.512
2,268,289,Web,1,0.765
2,88,335,Web,1,0.815
2,1,249,Web,0,0.556
2,332,399,Web,0,0.776
2,397,263,Web,0,0.649
2,155,376,Web,0,0.539
2,217,238,Web,1,0.565
2,286,378,Web,0,0.736
2,178,233,Web,0,0.66
2,307,344,Web,0,0.661
2,187,289,Web,1,0.683
2,346,306,Web,0,0.749
2,306,245,Web,1,0.775
2,13,344,Web,1,0.579
2,341,334,Web,0,0.348
2,293,282,Web,1,0.676
3,322,349,Mobile,0,0.551
3,136,326,Mobile,0,0.527
3,281,376,Mobile,0,0.584
3,17,387,Mobile,0,0.566
3,249,324,Mobile,1,0.7
3,124,354,Mobile,0,0.494
3,30,380,Mobile,1,0.427
3,364,313,Mobile,0,0.385
3,17,299,Mobile,0,0.183
3,139,373,Mobile,1,0.544
3,121,374,Mobile,0,0.595
3,95,314,Mobile,1,0.647
4,330,343,Mobile,1,0.608
4,188,315,Mobile,0,0.402
4,277,297,Mobile,0,0.836
4,156,274,Mobile,1,0.686
4,390,270,Mobile,0,0.546
4,268,335,Mobile,0,0.648
4,388,278,Mobile,1,0.67
4,195,375,Mobile,0,0.502
4,95,243,Mobile,0,0.585
4,398,258,Mobile,0,0.592
4,122,228,Mobile,0,0.725
4,35,375,Mobile,1,0.777
4,335,294,Mobile,0,0.695
4,198,226,Mobile,1,0.757
4,172,227,Mobile,1,0.884
4,317,385,Mobile,0,0.572
4,393,378,Mobile,0,0.516
4,43,269,Mobile,0,0.675
4,112,336,Mobile,1,0.707
4,373,265,Mobile,0,0.253
4,65,371,Mobile,1,1.0
4,12,348,Mobile,0,0.631
4,259,299,Mobile,0,0.724
5,44,248,CTV,0,0.497
5,257,318,CTV,1,0.881
5,72,193,CTV,1,0.89
5,142,397,CTV,0,0.556
5,314,396,CTV,0,0.809
5,41,171,CTV,0,0.706
5,293,312,CTV,1,0.793
5,16,300,CTV,0,0.275
5,107,196,CTV,1,0.613
5,389,343,CTV,0,0.412
5,207,342,CTV,0,0.557
5,22,361,CTV,0,0.476
5,49,302,CTV,0,0.722
5,382,327,CTV,0,0.385
5,156,331,CTV,0,0.549
5,324,342,CTV,1,0.579
5,127,297,CTV,0,0.807
5,320,337,CTV,0,0.71
5,154,168,CTV,1,0.536
5,316,305,CTV,1,0.522
5,257,203,CTV,0,0.734
5,192,254,CTV,1,0.644
5,387,343,CTV,0,0.703
5,104,181,CTV,1,0.52
5,158,339,CTV,1,0.648
5,180,217,CTV,0,0.625
5,273,339,CTV,1,0.715
5,316,342,CTV,0,0.444
5,56,157,CTV,0,0.695
5,335,211,CTV,0,0.531
5,326,352,CTV,0,0.545
5,188,238,CTV,0,0.716
5,369,262,CTV,0,0.569
5,274,157,CTV,1,0.658
5,349,324,CTV,1,0.543
5,7,176,CTV,0,0.687
5,239,220,CTV,0,0.678
5,369,271,CTV,0,0.52
5,13,343,CTV,0,0.677
5,107,276,CTV,1,0.829
5,398,395,CTV,1,0.698
5,359,282,CTV,1,0.847
5,121,216,CTV,0,0.369
5,3,200,CTV,1,0.635
5,52,346,CTV,0,0.5
6,55,387,CTV,0,0.428
6,96,346,CTV,0,0.531
6,60,389,CTV,1,0.612
6,333,332,CTV,0,0.49
6,91,358,CTV,0,0.615
6,152,349,CTV,0,0.548
6,397,361,CTV,1,0.559
6,352,384,CTV,0,0.723
6,209,397,CTV,0,0.619
7,196,276,CTV,1,0.645
7,245,269,CTV,1,0.682
7,397,294,CTV,0,0.464
7,241,184,CTV,0,0.485
7,261,363,CTV,1,0.717
7,147,279,CTV,0,0.487
7,377,287,CTV,1,0.708
7,316,369,CTV,0,0.367
7,55,265,CTV,0,0.49
7,248,264,CTV,1,0.562
7,136,290,CTV,1,0.854
7,76,384,CTV,1,0.505
7,127,212,CTV,0,0.625
7,265,188,CTV,1,0.545
7,239,176,CTV,1,0.689
7,30,333,CTV,1,0.456
7,229,151,CTV,1,0.709
7,21,326,CTV,0,0.47
7,228,370,CTV,1,0.691
7,328,320,CTV,1,0.633
7,326,191,CTV,0,0.576
7,321,315,CTV,0,0.588
7,65,260,CTV,0,0.37
7,130,154,CTV,1,0.843
7,260,198,CTV,0,0.493
7,142,335,CTV,1,0.695
7,48,289,CTV,1,0.605
7,180,274,CTV,1,0.789
7,258,343,CTV,0,0.476
7,362,280,CTV,0,0.472
7,348,392,CTV,0,0.474
7,268,161,CTV,1,0.737
7,45,220,CTV,0,0.466
7,333,196,CTV,0,0.522
7,157,252,CTV,1,0.952
7,277,377,CTV,1,0.656
8,47,347,Mobile,0,0.664
8,99,287,Mobile,1,0.834
8,108,387,Mobile,1,0.657
8,312,323,Mobile,0,0.516
8,175,366,Mobile,1,0.648
8,264,357,Mobile,1,0.779
8,167,326,Mobile,1,0.629
8,56,326,Mobile,1,0.542
8,281,347,Mobile,0,0.528
8,58,328,Mobile,1,0.59
8,291,304,Mobile,0,0.471
8,400,367,Mobile,0,0.692
8,374,362,Mobile,0,0.534
8,35,353,Mobile,1,0.609
9,269,391,Mobile,0,0.31
9,361,239,Mobile,0,0.643
9,131,246,Mobile,1,0.529
